epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,227.532,0.50602,0.35253,1.1786,0.99685,1,0.995,0.8151,0.48583,0.2729,0.97107,0.0011885,0.0011885,0.0011885
87,230.048,0.49482,0.35128,1.16132,0.99334,0.98919,0.995,0.82084,0.49213,0.27583,0.9857,0.00118567,0.00118567,0.00118567
88,232.589,0.50093,0.36171,1.14813,0.99137,0.99723,0.99485,0.81223,0.49465,0.27683,0.99112,0.00118284,0.00118284,0.00118284
89,235.234,0.51267,0.36722,1.19306,0.99284,1,0.995,0.82374,0.46515,0.27139,0.98416,0.00118001,0.00118001,0.00118001
90,237.857,0.50235,0.35387,1.1895,0.96647,1,0.98593,0.83008,0.46107,0.2793,0.98763,0.00117718,0.00117718,0.00117718
91,240.515,0.51654,0.35727,1.17818,0.99203,0.99479,0.99495,0.82252,0.4685,0.27829,0.98036,0.00117435,0.00117435,0.00117435
92,243.174,0.48621,0.34845,1.1605,0.99698,0.99923,0.995,0.80982,0.48732,0.2646,0.98247,0.00117152,0.00117152,0.00117152
93,245.817,0.51163,0.34987,1.19023,0.9976,1,0.995,0.81753,0.48983,0.26554,0.98382,0.00116869,0.00116869,0.00116869
94,248.268,0.5016,0.34198,1.16243,0.9981,1,0.995,0.83615,0.46803,0.26075,0.99305,0.00116586,0.00116586,0.00116586
95,250.75,0.49174,0.34819,1.18477,0.99617,1,0.995,0.8365,0.46587,0.26209,0.98608,0.00116303,0.00116303,0.00116303
96,253.348,0.50199,0.34784,1.16957,0.99462,1,0.995,0.80338,0.49328,0.27176,0.98905,0.00116021,0.00116021,0.00116021
97,255.943,0.49627,0.34698,1.18675,0.99679,1,0.995,0.82991,0.45866,0.26189,0.97137,0.00115738,0.00115738,0.00115738
98,258.557,0.48115,0.33761,1.15647,0.99214,0.97647,0.9945,0.82143,0.47028,0.27176,0.99861,0.00115455,0.00115455,0.00115455
99,261.061,0.49458,0.34692,1.17985,0.99848,0.98851,0.99394,0.8094,0.4792,0.26903,0.97622,0.00115172,0.00115172,0.00115172
100,263.586,0.50395,0.34649,1.18305,0.99156,0.98958,0.99448,0.83097,0.45392,0.25645,0.97168,0.00114889,0.00114889,0.00114889
101,266.2,0.49714,0.34947,1.18333,0.99827,1,0.995,0.81892,0.45544,0.25809,0.96865,0.00114606,0.00114606,0.00114606
102,268.671,0.49413,0.34608,1.18225,0.96653,0.94486,0.97239,0.79904,0.47214,0.29511,0.99259,0.00114323,0.00114323,0.00114323
103,271.209,0.48,0.34253,1.16529,0.98345,0.9574,0.98344,0.8113,0.49042,0.29432,1.01012,0.0011404,0.0011404,0.0011404
104,273.859,0.50151,0.35134,1.18747,0.99476,1,0.995,0.81713,0.47265,0.26006,1.00518,0.00113757,0.00113757,0.00113757
105,276.475,0.48162,0.33602,1.14567,0.99802,1,0.995,0.8408,0.47488,0.25719,0.97261,0.00113474,0.00113474,0.00113474
106,278.999,0.47421,0.34263,1.1492,0.99793,1,0.995,0.84804,0.45816,0.24907,0.96062,0.00113191,0.00113191,0.00113191
107,281.442,0.49297,0.34843,1.1757,0.99813,0.9985,0.995,0.83662,0.46025,0.25773,0.97729,0.00112908,0.00112908,0.00112908
108,284.104,0.47133,0.33773,1.12872,0.99682,0.99959,0.995,0.83472,0.45924,0.26497,0.97531,0.00112625,0.00112625,0.00112625
109,286.46,0.46498,0.32299,1.15319,0.99832,1,0.995,0.8561,0.4246,0.24603,0.97836,0.00112342,0.00112342,0.00112342
110,288.873,0.47844,0.33681,1.18728,0.99734,1,0.995,0.83256,0.45214,0.25255,0.97094,0.00112059,0.00112059,0.00112059
111,291.247,0.47242,0.32901,1.14402,0.99826,1,0.995,0.82997,0.46407,0.25643,0.9672,0.00111776,0.00111776,0.00111776
112,293.638,0.46607,0.32514,1.13684,0.99727,0.99766,0.995,0.85165,0.43668,0.25086,0.97348,0.00111493,0.00111493,0.00111493
113,296.077,0.46366,0.32682,1.146,0.99286,0.99527,0.995,0.83537,0.47305,0.26266,0.97496,0.0011121,0.0011121,0.0011121
114,298.466,0.4709,0.32754,1.1455,0.9981,1,0.995,0.82973,0.45851,0.25791,1.00337,0.00110928,0.00110928,0.00110928
115,300.966,0.46372,0.32505,1.14985,0.99807,1,0.995,0.82767,0.44545,0.24548,0.96305,0.00110645,0.00110645,0.00110645
116,303.369,0.47156,0.3353,1.17039,0.99749,1,0.995,0.84198,0.44777,0.25339,0.97705,0.00110362,0.00110362,0.00110362
117,305.763,0.48271,0.3459,1.16716,0.99481,1,0.995,0.83136,0.46157,0.25508,0.97221,0.00110079,0.00110079,0.00110079
118,308.148,0.45984,0.32383,1.13145,0.99561,0.99684,0.995,0.82046,0.44878,0.25402,0.97055,0.00109796,0.00109796,0.00109796
119,310.781,0.45471,0.31385,1.14213,0.99727,1,0.995,0.84525,0.43291,0.24106,0.96021,0.00109513,0.00109513,0.00109513
120,313.163,0.45918,0.3298,1.14262,0.99257,1,0.99321,0.84223,0.4456,0.24364,0.95837,0.0010923,0.0010923,0.0010923
121,315.555,0.47679,0.31501,1.1383,0.99243,1,0.99423,0.85411,0.44609,0.24802,0.97792,0.00108947,0.00108947,0.00108947
122,317.945,0.46584,0.3359,1.15869,0.9936,1,0.995,0.85462,0.444,0.23912,0.97027,0.00108664,0.00108664,0.00108664
123,320.624,0.46122,0.32334,1.18073,0.99763,1,0.995,0.85532,0.44391,0.24401,0.96566,0.00108381,0.00108381,0.00108381
124,323.32,0.47414,0.32611,1.14799,0.99817,1,0.995,0.84227,0.45916,0.25159,0.96433,0.00108098,0.00108098,0.00108098
125,325.781,0.45954,0.32547,1.16118,0.99638,0.99823,0.995,0.85307,0.45004,0.2559,0.97805,0.00107815,0.00107815,0.00107815
126,328.27,0.45503,0.32403,1.10599,0.99821,0.9887,0.995,0.8559,0.45987,0.26043,0.98763,0.00107532,0.00107532,0.00107532
127,330.85,0.44623,0.32343,1.15341,0.99818,0.99691,0.995,0.85251,0.45136,0.2455,0.98348,0.00107249,0.00107249,0.00107249
128,333.52,0.46239,0.31807,1.14762,0.9977,0.9997,0.995,0.83991,0.45516,0.24455,0.96851,0.00106966,0.00106966,0.00106966
129,336.091,0.4652,0.32199,1.16086,0.99627,0.99941,0.995,0.83067,0.44489,0.24483,0.97597,0.00106683,0.00106683,0.00106683
130,338.631,0.45124,0.31601,1.1412,0.97796,0.9974,0.99136,0.83356,0.43662,0.25621,0.95588,0.001064,0.001064,0.001064
131,341.319,0.46116,0.31525,1.13412,0.95392,0.99529,0.98383,0.82107,0.46044,0.26668,0.97433,0.00106118,0.00106118,0.00106118
132,343.932,0.47643,0.33553,1.15691,0.98963,0.99341,0.995,0.82395,0.45993,0.26954,0.97073,0.00105835,0.00105835,0.00105835
133,346.403,0.46615,0.32812,1.15437,0.99748,1,0.995,0.84279,0.44051,0.24344,0.9694,0.00105552,0.00105552,0.00105552
134,348.974,0.44987,0.31724,1.13663,0.99812,1,0.995,0.86284,0.43752,0.241,0.98415,0.00105269,0.00105269,0.00105269
